property;value;
upperLegLeft;0.426152;
upperLegRight;0.390621;
lowerLegRight;0.36478;
forearmLeft;0.260348;
upperarmLeft;0.248835;
shoulderHalfLeft;0.173961;
neck;0.0788744;
shoulderHalfRight;0.194474;
upperarmRight;0.258153;
forearmRight;0.231528;
shoulder;0.341234;
upperBody;0.245559;
hip;0.151884;
lowerBody;0.341834;
body;0.587354;
lowerLegLeft;0.280097;
upperLegLeft;0.425592;
upperLegRight;0.389969;
lowerLegRight;0.364966;
forearmLeft;0.259465;
upperarmLeft;0.248963;
shoulderHalfLeft;0.173986;
neck;0.0788796;
shoulderHalfRight;0.194423;
upperarmRight;0.257939;
forearmRight;0.23183;
shoulder;0.341231;
upperBody;0.245585;
hip;0.151883;
lowerBody;0.342006;
body;0.587551;
lowerLegLeft;0.280139;
upperLegLeft;0.425272;
upperLegRight;0.38985;
lowerLegRight;0.364877;
forearmLeft;0.260259;
upperarmLeft;0.249176;
shoulderHalfLeft;0.173962;
neck;0.0788856;
shoulderHalfRight;0.19446;
upperarmRight;0.257683;
forearmRight;0.232543;
shoulder;0.341232;
upperBody;0.245642;
hip;0.151798;
lowerBody;0.342163;
body;0.587764;
lowerLegLeft;0.280652;
upperLegLeft;0.42454;
upperLegRight;0.389575;
lowerLegRight;0.364918;
forearmLeft;0.260697;
upperarmLeft;0.249397;
shoulderHalfLeft;0.173768;
neck;0.0789057;
shoulderHalfRight;0.194593;
upperarmRight;0.257221;
forearmRight;0.233008;
shoulder;0.341217;
upperBody;0.245691;
hip;0.151829;
lowerBody;0.342299;
body;0.587949;
lowerLegLeft;0.280883;
upperLegLeft;0.424243;
upperLegRight;0.389445;
lowerLegRight;0.364935;
forearmLeft;0.258082;
upperarmLeft;0.249427;
shoulderHalfLeft;0.173628;
neck;0.0789388;
shoulderHalfRight;0.194741;
upperarmRight;0.256866;
forearmRight;0.22496;
shoulder;0.341198;
upperBody;0.245752;
hip;0.151846;
lowerBody;0.342431;
body;0.588143;
lowerLegLeft;0.281314;
upperLegLeft;0.423549;
upperLegRight;0.389415;
lowerLegRight;0.364732;
forearmLeft;0.258619;
upperarmLeft;0.249375;
shoulderHalfLeft;0.173485;
neck;0.0789358;
shoulderHalfRight;0.194783;
upperarmRight;0.256741;
forearmRight;0.22613;
shoulder;0.341179;
upperBody;0.245771;
hip;0.151912;
lowerBody;0.342479;
body;0.588209;
lowerLegLeft;0.280469;
upperLegLeft;0.423267;
upperLegRight;0.38909;
lowerLegRight;0.364032;
forearmLeft;0.255886;
upperarmLeft;0.249534;
shoulderHalfLeft;0.173349;
neck;0.0789485;
shoulderHalfRight;0.194942;
upperarmRight;0.255875;
forearmRight;0.253038;
shoulder;0.341208;
upperBody;0.245782;
hip;0.151912;
lowerBody;0.342546;
body;0.588288;
lowerLegLeft;0.280843;
upperLegLeft;0.422716;
upperLegRight;0.389129;
lowerLegRight;0.363832;
forearmLeft;0.254827;
upperarmLeft;0.249565;
shoulderHalfLeft;0.173312;
neck;0.0789765;
shoulderHalfRight;0.194927;
upperarmRight;0.273742;
forearmRight;0.230824;
shoulder;0.341137;
upperBody;0.245822;
hip;0.151998;
lowerBody;0.342638;
body;0.588421;
lowerLegLeft;0.280778;
upperLegLeft;0.422619;
upperLegRight;0.388877;
lowerLegRight;0.364019;
forearmLeft;0.254494;
upperarmLeft;0.249477;
shoulderHalfLeft;0.173209;
neck;0.0789921;
shoulderHalfRight;0.195045;
upperarmRight;0.263129;
forearmRight;0.238403;
shoulder;0.341101;
upperBody;0.24587;
hip;0.15204;
lowerBody;0.342768;
body;0.5886;
lowerLegLeft;0.279222;
upperLegLeft;0.424236;
upperLegRight;0.388698;
lowerLegRight;0.363974;
forearmLeft;0.253431;
upperarmLeft;0.249461;
shoulderHalfLeft;0.173108;
neck;0.0789934;
shoulderHalfRight;0.195003;
upperarmRight;0.261737;
forearmRight;0.239662;
shoulder;0.340972;
upperBody;0.245873;
hip;0.152193;
lowerBody;0.342742;
body;0.588577;
lowerLegLeft;0.27929;
upperLegLeft;0.42415;
upperLegRight;0.388787;
lowerLegRight;0.363812;
forearmLeft;0.255059;
upperarmLeft;0.249631;
shoulderHalfLeft;0.173011;
neck;0.0789977;
shoulderHalfRight;0.194969;
upperarmRight;0.260213;
forearmRight;0.241109;
shoulder;0.340911;
upperBody;0.245907;
hip;0.152232;
lowerBody;0.342794;
body;0.588663;
lowerLegLeft;0.27938;
upperLegLeft;0.423777;
upperLegRight;0.388585;
lowerLegRight;0.363847;
forearmLeft;0.253927;
upperarmLeft;0.24959;
shoulderHalfLeft;0.172982;
neck;0.0790004;
shoulderHalfRight;0.194943;
upperarmRight;0.259851;
forearmRight;0.241294;
shoulder;0.340897;
upperBody;0.245916;
hip;0.152278;
lowerBody;0.342871;
body;0.58875;
lowerLegLeft;0.279421;
upperLegLeft;0.423606;
upperLegRight;0.388498;
lowerLegRight;0.36385;
forearmLeft;0.255037;
upperarmLeft;0.249978;
shoulderHalfLeft;0.172824;
neck;0.0790134;
shoulderHalfRight;0.195034;
upperarmRight;0.258817;
forearmRight;0.248491;
shoulder;0.340838;
upperBody;0.24594;
hip;0.152301;
lowerBody;0.342934;
body;0.588837;
lowerLegLeft;0.279814;
upperLegLeft;0.423392;
upperLegRight;0.388636;
lowerLegRight;0.363697;
forearmLeft;0.256525;
upperarmLeft;0.25004;
shoulderHalfLeft;0.172759;
neck;0.0790217;
shoulderHalfRight;0.195082;
upperarmRight;0.258315;
forearmRight;0.248402;
shoulder;0.340763;
upperBody;0.245981;
hip;0.152332;
lowerBody;0.343035;
body;0.588978;
lowerLegLeft;0.279818;
upperLegLeft;0.423207;
upperLegRight;0.388465;
lowerLegRight;0.363725;
forearmLeft;0.255806;
upperarmLeft;0.250012;
shoulderHalfLeft;0.172814;
neck;0.0790363;
shoulderHalfRight;0.195123;
upperarmRight;0.257439;
forearmRight;0.245643;
shoulder;0.340819;
upperBody;0.246018;
hip;0.152397;
lowerBody;0.343214;
body;0.589193;
lowerLegLeft;0.280587;
upperLegLeft;0.42262;
upperLegRight;0.388319;
lowerLegRight;0.364147;
forearmLeft;0.256822;
upperarmLeft;0.249869;
shoulderHalfLeft;0.172848;
neck;0.0790495;
shoulderHalfRight;0.195207;
upperarmRight;0.256982;
forearmRight;0.244769;
shoulder;0.340876;
upperBody;0.246096;
hip;0.152448;
