property;value;
upperLegLeft;0.449444;
upperLegRight;0.401765;
lowerLegRight;0.362411;
forearmLeft;0.257552;
upperarmLeft;0.263766;
shoulderHalfLeft;0.184448;
neck;0.0778391;
shoulderHalfRight;0.200351;
upperarmRight;0.210329;
forearmRight;0.198067;
shoulder;0.367851;
upperBody;0.242616;
hip;0.152739;
lowerBody;0.337881;
body;0.580458;
lowerLegLeft;0.263771;
upperLegLeft;0.449106;
upperLegRight;0.400468;
lowerLegRight;0.363213;
forearmLeft;0.257606;
upperarmLeft;0.263555;
shoulderHalfLeft;0.184218;
neck;0.0778283;
shoulderHalfRight;0.200154;
upperarmRight;0.21068;
forearmRight;0.19807;
shoulder;0.36765;
upperBody;0.242587;
hip;0.152762;
lowerBody;0.337825;
body;0.580374;
lowerLegLeft;0.263791;
upperLegLeft;0.449278;
upperLegRight;0.401589;
lowerLegRight;0.362291;
forearmLeft;0.257464;
upperarmLeft;0.263671;
shoulderHalfLeft;0.184456;
neck;0.077858;
shoulderHalfRight;0.200046;
upperarmRight;0.210803;
forearmRight;0.198086;
shoulder;0.367471;
upperBody;0.24268;
hip;0.152703;
lowerBody;0.338002;
body;0.580644;
lowerLegLeft;0.263841;
upperLegLeft;0.448935;
upperLegRight;0.401425;
lowerLegRight;0.361843;
forearmLeft;0.257388;
upperarmLeft;0.263611;
shoulderHalfLeft;0.184784;
neck;0.0778695;
shoulderHalfRight;0.199832;
upperarmRight;0.211077;
forearmRight;0.198098;
shoulder;0.367319;
upperBody;0.242707;
hip;0.152677;
lowerBody;0.338021;
body;0.580689;
lowerLegLeft;0.2639;
upperLegLeft;0.448885;
upperLegRight;0.400527;
lowerLegRight;0.362336;
forearmLeft;0.257289;
upperarmLeft;0.263622;
shoulderHalfLeft;0.184444;
neck;0.0778418;
shoulderHalfRight;0.199619;
upperarmRight;0.211234;
forearmRight;0.198104;
shoulder;0.367004;
upperBody;0.24265;
hip;0.152741;
lowerBody;0.337913;
body;0.580522;
lowerLegLeft;0.26333;
upperLegLeft;0.449151;
upperLegRight;0.399601;
lowerLegRight;0.363765;
forearmLeft;0.257163;
upperarmLeft;0.263729;
shoulderHalfLeft;0.184302;
neck;0.0778267;
shoulderHalfRight;0.199487;
upperarmRight;0.211347;
forearmRight;0.198117;
shoulder;0.36687;
upperBody;0.242602;
hip;0.152729;
lowerBody;0.337844;
body;0.580406;
lowerLegLeft;0.26397;
upperLegLeft;0.449468;
upperLegRight;0.399591;
lowerLegRight;0.364088;
forearmLeft;0.257081;
upperarmLeft;0.263464;
shoulderHalfLeft;0.184273;
neck;0.0778113;
shoulderHalfRight;0.199357;
upperarmRight;0.21151;
forearmRight;0.198137;
shoulder;0.366877;
upperBody;0.242558;
hip;0.152724;
lowerBody;0.337779;
body;0.580297;
lowerLegLeft;0.264641;
upperLegLeft;0.449557;
upperLegRight;0.398884;
lowerLegRight;0.364554;
forearmLeft;0.257037;
upperarmLeft;0.263206;
shoulderHalfLeft;0.184176;
neck;0.0777921;
shoulderHalfRight;0.19926;
upperarmRight;0.211436;
forearmRight;0.198138;
shoulder;0.366792;
upperBody;0.242502;
hip;0.152686;
lowerBody;0.337723;
body;0.580184;
lowerLegLeft;0.264702;
upperLegLeft;0.449567;
upperLegRight;0.398622;
lowerLegRight;0.364704;
forearmLeft;0.256793;
upperarmLeft;0.263227;
shoulderHalfLeft;0.18408;
neck;0.0777737;
shoulderHalfRight;0.199236;
upperarmRight;0.211445;
forearmRight;0.198142;
shoulder;0.36668;
upperBody;0.242456;
hip;0.152692;
lowerBody;0.337638;
body;0.580053;
lowerLegLeft;0.264515;
upperLegLeft;0.449726;
upperLegRight;0.401579;
lowerLegRight;0.361935;
forearmLeft;0.256655;
upperarmLeft;0.263311;
shoulderHalfLeft;0.183894;
neck;0.077769;
shoulderHalfRight;0.199219;
upperarmRight;0.211569;
forearmRight;0.198144;
shoulder;0.36653;
upperBody;0.242436;
hip;0.15266;
lowerBody;0.33761;
body;0.580005;
lowerLegLeft;0.264616;
upperLegLeft;0.449775;
upperLegRight;0.400733;
lowerLegRight;0.362525;
forearmLeft;0.256478;
upperarmLeft;0.263247;
shoulderHalfLeft;0.183862;
neck;0.0777645;
shoulderHalfRight;0.199169;
upperarmRight;0.211609;
forearmRight;0.198168;
shoulder;0.366504;
upperBody;0.242422;
hip;0.152656;
lowerBody;0.337592;
body;0.579974;
lowerLegLeft;0.265323;
upperLegLeft;0.449811;
upperLegRight;0.400204;
lowerLegRight;0.362541;
forearmLeft;0.256405;
upperarmLeft;0.263077;
shoulderHalfLeft;0.183847;
neck;0.0777535;
shoulderHalfRight;0.199143;
upperarmRight;0.211765;
forearmRight;0.198175;
shoulder;0.366436;
upperBody;0.242384;
hip;0.152714;
lowerBody;0.337542;
body;0.579885;
lowerLegLeft;0.265339;
upperLegLeft;0.449973;
upperLegRight;0.400737;
lowerLegRight;0.362266;
forearmLeft;0.256141;
upperarmLeft;0.26308;
shoulderHalfLeft;0.183868;
neck;0.0777478;
shoulderHalfRight;0.199092;
upperarmRight;0.211683;
forearmRight;0.198186;
shoulder;0.366406;
upperBody;0.242365;
hip;0.152682;
lowerBody;0.337519;
body;0.579843;
lowerLegLeft;0.265423;
upperLegLeft;0.450022;
upperLegRight;0.400337;
lowerLegRight;0.362879;
forearmLeft;0.255925;
upperarmLeft;0.26299;
shoulderHalfLeft;0.183873;
neck;0.0777374;
shoulderHalfRight;0.198974;
upperarmRight;0.212425;
forearmRight;0.198195;
shoulder;0.366278;
upperBody;0.24233;
hip;0.152715;
lowerBody;0.337464;
body;0.579754;
lowerLegLeft;0.264852;
upperLegLeft;0.450118;
upperLegRight;0.399569;
lowerLegRight;0.364674;
forearmLeft;0.255684;
upperarmLeft;0.263234;
shoulderHalfLeft;0.184289;
neck;0.0777599;
shoulderHalfRight;0.198951;
upperarmRight;0.212775;
forearmRight;0.198185;
shoulder;0.366207;
upperBody;0.242413;
hip;0.152681;
lowerBody;0.337635;
body;0.580007;
lowerLegLeft;0.26491;
upperLegLeft;0.449904;
upperLegRight;0.399416;
lowerLegRight;0.364647;
forearmLeft;0.255609;
upperarmLeft;0.26319;
shoulderHalfLeft;0.184181;
neck;0.0777549;
shoulderHalfRight;0.198888;
upperarmRight;0.213289;
forearmRight;0.19816;
shoulder;0.366087;
upperBody;0.242395;
hip;0.152657;
lowerBody;0.337608;
body;0.579962;
lowerLegLeft;0.264299;
upperLegLeft;0.449957;
upperLegRight;0.398962;
lowerLegRight;0.365556;
forearmLeft;0.25559;
upperarmLeft;0.263163;
shoulderHalfLeft;0.184059;
neck;0.0777651;
shoulderHalfRight;0.198906;
upperarmRight;0.213607;
forearmRight;0.198205;
shoulder;0.366025;
upperBody;0.242417;
hip;0.152541;
lowerBody;0.337628;
body;0.580005;
lowerLegLeft;0.264437;
upperLegLeft;0.449695;
upperLegRight;0.398332;
lowerLegRight;0.365953;
forearmLeft;0.255628;
upperarmLeft;0.263166;
shoulderHalfLeft;0.183954;
neck;0.0777658;
shoulderHalfRight;0.19889;
upperarmRight;0.213715;
forearmRight;0.198224;
shoulder;0.365951;
upperBody;0.24242;
hip;0.15258;
lowerBody;0.337634;
body;0.580013;
lowerLegLeft;0.265309;
upperLegLeft;0.449698;
upperLegRight;0.398135;
lowerLegRight;0.366556;
forearmLeft;0.255681;
upperarmLeft;0.263115;
shoulderHalfLeft;0.183855;
neck;0.0777428;
shoulderHalfRight;0.198894;
upperarmRight;0.213956;
forearmRight;0.198385;
shoulder;0.365878;
upperBody;0.242357;
hip;0.1526;
lowerBody;0.337552;
body;0.579868;
lowerLegLeft;0.265961;
upperLegLeft;0.449887;
upperLegRight;0.397975;
lowerLegRight;0.368786;
forearmLeft;0.25545;
upperarmLeft;0.263267;
shoulderHalfLeft;0.183807;
neck;0.0777384;
shoulderHalfRight;0.198801;
upperarmRight;0.213955;
forearmRight;0.198455;
shoulder;0.365797;
upperBody;0.24234;
hip;0.152583;
lowerBody;0.337526;
body;0.579824;
lowerLegLeft;0.265984;
upperLegLeft;0.449968;
upperLegRight;0.397892;
lowerLegRight;0.368772;
forearmLeft;0.255187;
upperarmLeft;0.263474;
shoulderHalfLeft;0.183715;
neck;0.0777213;
shoulderHalfRight;0.198867;
upperarmRight;0.213965;
forearmRight;0.198505;
shoulder;0.365706;
upperBody;0.242285;
hip;0.152762;
lowerBody;0.337456;
body;0.579701;
lowerLegLeft;0.266485;
upperLegLeft;0.450058;
upperLegRight;0.397406;
lowerLegRight;0.368985;
forearmLeft;0.255144;
upperarmLeft;0.263311;
shoulderHalfLeft;0.183774;
neck;0.0777127;
shoulderHalfRight;0.198805;
upperarmRight;0.213952;
forearmRight;0.198551;
shoulder;0.365699;
upperBody;0.242256;
hip;0.152793;
lowerBody;0.337412;
body;0.579628;
lowerLegLeft;0.265601;
upperLegLeft;0.450169;
upperLegRight;0.397117;
lowerLegRight;0.367917;
forearmLeft;0.255059;
upperarmLeft;0.263346;
shoulderHalfLeft;0.183685;
neck;0.0777085;
shoulderHalfRight;0.198824;
upperarmRight;0.214009;
forearmRight;0.198556;
shoulder;0.36565;
upperBody;0.242241;
hip;0.152763;
lowerBody;0.337387;
body;0.579587;
lowerLegLeft;0.265708;
upperLegLeft;0.450224;
upperLegRight;0.398124;
lowerLegRight;0.366575;
forearmLeft;0.254818;
upperarmLeft;0.263246;
shoulderHalfLeft;0.183681;
neck;0.0777013;
shoulderHalfRight;0.198846;
upperarmRight;0.21392;
forearmRight;0.198573;
shoulder;0.365652;
upperBody;0.242216;
hip;0.152763;
lowerBody;0.337347;
body;0.579523;
lowerLegLeft;0.265598;
upperLegLeft;0.450308;
upperLegRight;0.398646;
lowerLegRight;0.366069;
forearmLeft;0.254423;
upperarmLeft;0.263326;
shoulderHalfLeft;0.18367;
neck;0.077736;
shoulderHalfRight;0.198859;
upperarmRight;0.213883;
forearmRight;0.198579;
shoulder;0.365595;
upperBody;0.242317;
hip;0.15265;
lowerBody;0.337493;
body;0.57977;
lowerLegLeft;0.265556;
upperLegLeft;0.45014;
upperLegRight;0.398882;
lowerLegRight;0.365574;
forearmLeft;0.25447;
upperarmLeft;0.263321;
shoulderHalfLeft;0.183618;
neck;0.077732;
shoulderHalfRight;0.198843;
upperarmRight;0.213553;
forearmRight;0.19865;
shoulder;0.365535;
upperBody;0.242302;
hip;0.152639;
lowerBody;0.33747;
body;0.579732;
lowerLegLeft;0.264077;
upperLegLeft;0.450491;
upperLegRight;0.398425;
lowerLegRight;0.366168;
forearmLeft;0.254467;
upperarmLeft;0.263328;
shoulderHalfLeft;0.18369;
neck;0.0777293;
shoulderHalfRight;0.198742;
upperarmRight;0.213669;
forearmRight;0.198682;
shoulder;0.365494;
upperBody;0.242294;
hip;0.152648;
lowerBody;0.337459;
body;0.579713;
lowerLegLeft;0.264581;
upperLegLeft;0.450533;
upperLegRight;0.398328;
lowerLegRight;0.366528;
forearmLeft;0.254498;
upperarmLeft;0.263242;
shoulderHalfLeft;0.183669;
neck;0.0777182;
shoulderHalfRight;0.198725;
upperarmRight;0.213757;
forearmRight;0.198698;
shoulder;0.365487;
upperBody;0.242266;
hip;0.152724;
lowerBody;0.337422;
body;0.579648;
lowerLegLeft;0.26477;
upperLegLeft;0.450532;
upperLegRight;0.398573;
lowerLegRight;0.366299;
forearmLeft;0.254762;
upperarmLeft;0.262945;
shoulderHalfLeft;0.183778;
neck;0.0777141;
shoulderHalfRight;0.198664;
upperarmRight;0.214149;
forearmRight;0.198727;
shoulder;0.365546;
upperBody;0.242251;
hip;0.152729;
lowerBody;0.337402;
body;0.579613;
lowerLegLeft;0.264614;
upperLegLeft;0.450612;
upperLegRight;0.399548;
lowerLegRight;0.365887;
forearmLeft;0.254686;
upperarmLeft;0.262994;
shoulderHalfLeft;0.183673;
neck;0.0777281;
shoulderHalfRight;0.198674;
upperarmRight;0.213272;
forearmRight;0.198719;
shoulder;0.365506;
upperBody;0.242303;
hip;0.152622;
lowerBody;0.337494;
body;0.579758;
lowerLegLeft;0.264909;
upperLegLeft;0.450355;
upperLegRight;0.400219;
lowerLegRight;0.365151;
forearmLeft;0.254749;
upperarmLeft;0.262969;
shoulderHalfLeft;0.183615;
neck;0.0777194;
shoulderHalfRight;0.198816;
upperarmRight;0.212715;
forearmRight;0.198745;
shoulder;0.365542;
upperBody;0.242278;
hip;0.152674;
lowerBody;0.337472;
body;0.579709;
lowerLegLeft;0.264538;
upperLegLeft;0.450716;
upperLegRight;0.400452;
lowerLegRight;0.364821;
forearmLeft;0.254815;
upperarmLeft;0.26284;
shoulderHalfLeft;0.183649;
neck;0.0776758;
shoulderHalfRight;0.199584;
upperarmRight;0.210942;
forearmRight;0.198748;
shoulder;0.367297;
upperBody;0.242152;
hip;0.152721;
lowerBody;0.337262;
body;0.579373;
lowerLegLeft;0.264979;
upperLegLeft;0.450802;
upperLegRight;0.400665;
lowerLegRight;0.364937;
forearmLeft;0.254705;
upperarmLeft;0.262797;
shoulderHalfLeft;0.183657;
neck;0.0776905;
shoulderHalfRight;0.199562;
upperarmRight;0.210933;
forearmRight;0.198732;
shoulder;0.367236;
upperBody;0.242194;
hip;0.152652;
lowerBody;0.337327;
body;0.579481;
lowerLegLeft;0.264104;
upperLegLeft;0.450918;
upperLegRight;0.400255;
lowerLegRight;0.366205;
forearmLeft;0.254633;
upperarmLeft;0.262457;
shoulderHalfLeft;0.183768;
neck;0.0776823;
shoulderHalfRight;0.199466;
upperarmRight;0.21109;
forearmRight;0.19884;
shoulder;0.367232;
upperBody;0.242162;
hip;0.15269;
lowerBody;0.337258;
body;0.579379;
lowerLegLeft;0.264344;
upperLegLeft;0.45089;
upperLegRight;0.402653;
lowerLegRight;0.363974;
forearmLeft;0.254547;
upperarmLeft;0.262492;
shoulderHalfLeft;0.184408;
neck;0.0777254;
shoulderHalfRight;0.199516;
upperarmRight;0.211112;
forearmRight;0.198834;
shoulder;0.367087;
upperBody;0.242263;
hip;0.152744;
lowerBody;0.337357;
body;0.579578;
lowerLegLeft;0.264652;
upperLegLeft;0.450761;
upperLegRight;0.401695;
lowerLegRight;0.364475;
forearmLeft;0.254407;
upperarmLeft;0.262389;
shoulderHalfLeft;0.184322;
neck;0.0777105;
shoulderHalfRight;0.20008;
upperarmRight;0.21044;
forearmRight;0.198894;
shoulder;0.368147;
upperBody;0.242226;
hip;0.152731;
lowerBody;0.337309;
body;0.579492;
lowerLegLeft;0.265219;
upperLegLeft;0.450801;
upperLegRight;0.401926;
lowerLegRight;0.364493;
forearmLeft;0.254426;
upperarmLeft;0.262402;
shoulderHalfLeft;0.184186;
neck;0.0777263;
shoulderHalfRight;0.199969;
upperarmRight;0.21067;
forearmRight;0.198926;
shoulder;0.367779;
upperBody;0.242276;
hip;0.152663;
lowerBody;0.337382;
body;0.579617;
lowerLegLeft;0.265278;
upperLegLeft;0.450567;
upperLegRight;0.401978;
lowerLegRight;0.364156;
forearmLeft;0.254807;
upperarmLeft;0.261862;
shoulderHalfLeft;0.184216;
neck;0.0777339;
shoulderHalfRight;0.199884;
upperarmRight;0.211214;
forearmRight;0.198905;
shoulder;0.367721;
upperBody;0.242298;
hip;0.152608;
lowerBody;0.337413;
body;0.579669;
lowerLegLeft;0.265381;
upperLegLeft;0.450435;
upperLegRight;0.400765;
lowerLegRight;0.364921;
forearmLeft;0.254756;
upperarmLeft;0.261682;
shoulderHalfLeft;0.184262;
neck;0.0777452;
shoulderHalfRight;0.199875;
upperarmRight;0.211169;
forearmRight;0.198852;
shoulder;0.367718;
upperBody;0.242337;
hip;0.152558;
lowerBody;0.337477;
body;0.579773;
lowerLegLeft;0.265335;
upperLegLeft;0.450286;
upperLegRight;0.401268;
lowerLegRight;0.364217;
forearmLeft;0.255021;
upperarmLeft;0.26134;
shoulderHalfLeft;0.184221;
neck;0.0777346;
shoulderHalfRight;0.199847;
upperarmRight;0.211418;
forearmRight;0.198814;
shoulder;0.367626;
upperBody;0.242308;
hip;0.152624;
lowerBody;0.337454;
body;0.579721;
lowerLegLeft;0.265454;
upperLegLeft;0.450316;
upperLegRight;0.401434;
lowerLegRight;0.364052;
forearmLeft;0.254931;
upperarmLeft;0.261392;
shoulderHalfLeft;0.184214;
neck;0.0777448;
shoulderHalfRight;0.199792;
upperarmRight;0.211555;
forearmRight;0.198789;
shoulder;0.367525;
upperBody;0.24234;
hip;0.152554;
lowerBody;0.337504;
body;0.579803;
lowerLegLeft;0.265664;
upperLegLeft;0.450186;
upperLegRight;0.401585;
lowerLegRight;0.363869;
forearmLeft;0.254454;
upperarmLeft;0.261558;
shoulderHalfLeft;0.184334;
neck;0.077762;
shoulderHalfRight;0.199738;
upperarmRight;0.211618;
forearmRight;0.198772;
shoulder;0.367555;
upperBody;0.242396;
hip;0.152469;
lowerBody;0.337613;
body;0.579968;
lowerLegLeft;0.265289;
upperLegLeft;0.45003;
upperLegRight;0.400872;
lowerLegRight;0.36378;
forearmLeft;0.254562;
upperarmLeft;0.261399;
shoulderHalfLeft;0.184321;
neck;0.0777761;
shoulderHalfRight;0.199817;
upperarmRight;0.211729;
forearmRight;0.198756;
shoulder;0.367581;
upperBody;0.242433;
hip;0.152414;
lowerBody;0.337652;
body;0.580043;
lowerLegLeft;0.265895;
upperLegLeft;0.449877;
upperLegRight;0.401022;
lowerLegRight;0.363593;
forearmLeft;0.25505;
upperarmLeft;0.260727;
shoulderHalfLeft;0.184315;
neck;0.0778031;
shoulderHalfRight;0.199934;
upperarmRight;0.211811;
forearmRight;0.198748;
shoulder;0.367643;
upperBody;0.242499;
hip;0.152408;
lowerBody;0.337712;
body;0.580169;
lowerLegLeft;0.26603;
upperLegLeft;0.449799;
upperLegRight;0.400363;
lowerLegRight;0.364151;
forearmLeft;0.25515;
upperarmLeft;0.260699;
shoulderHalfLeft;0.184275;
neck;0.0777967;
shoulderHalfRight;0.200015;
upperarmRight;0.211658;
forearmRight;0.198737;
shoulder;0.367614;
upperBody;0.242482;
hip;0.152518;
lowerBody;0.3377;
body;0.580141;
lowerLegLeft;0.265341;
upperLegLeft;0.449957;
upperLegRight;0.399845;
lowerLegRight;0.365346;
forearmLeft;0.255057;
upperarmLeft;0.260724;
shoulderHalfLeft;0.184117;
neck;0.0778018;
shoulderHalfRight;0.200225;
upperarmRight;0.211419;
forearmRight;0.198738;
shoulder;0.367559;
upperBody;0.242497;
hip;0.152587;
lowerBody;0.337718;
body;0.580173;
lowerLegLeft;0.265744;
upperLegLeft;0.450039;
upperLegRight;0.40011;
lowerLegRight;0.364824;
forearmLeft;0.240976;
upperarmLeft;0.272054;
shoulderHalfLeft;0.184106;
neck;0.0778297;
shoulderHalfRight;0.200297;
upperarmRight;0.210788;
forearmRight;0.198761;
shoulder;0.367534;
upperBody;0.242574;
hip;0.15256;
lowerBody;0.337833;
body;0.580365;
lowerLegLeft;0.264647;
upperLegLeft;0.449938;
upperLegRight;0.400895;
lowerLegRight;0.364455;
forearmLeft;0.244999;
upperarmLeft;0.268517;
shoulderHalfLeft;0.184025;
neck;0.0778391;
shoulderHalfRight;0.200319;
upperarmRight;0.211089;
forearmRight;0.198772;
shoulder;0.367487;
upperBody;0.242606;
hip;0.152503;
lowerBody;0.337876;
body;0.58044;
lowerLegLeft;0.265017;
upperLegLeft;0.449633;
upperLegRight;0.401018;
lowerLegRight;0.364351;
forearmLeft;0.248477;
upperarmLeft;0.265426;
shoulderHalfLeft;0.184007;
neck;0.0778654;
shoulderHalfRight;0.200374;
upperarmRight;0.211316;
forearmRight;0.198777;
shoulder;0.367444;
upperBody;0.242676;
hip;0.152496;
lowerBody;0.337952;
body;0.580586;
lowerLegLeft;0.264591;
upperLegLeft;0.449461;
upperLegRight;0.40059;
lowerLegRight;0.36494;
forearmLeft;0.249644;
upperarmLeft;0.264428;
shoulderHalfLeft;0.183892;
neck;0.0778701;
shoulderHalfRight;0.200492;
upperarmRight;0.211313;
forearmRight;0.198782;
shoulder;0.367434;
upperBody;0.242693;
hip;0.152516;
lowerBody;0.337979;
body;0.58063;
lowerLegLeft;0.264748;
upperLegLeft;0.449304;
upperLegRight;0.399952;
lowerLegRight;0.364846;
forearmLeft;0.249968;
upperarmLeft;0.264233;
shoulderHalfLeft;0.183775;
neck;0.0778809;
shoulderHalfRight;0.200536;
upperarmRight;0.211377;
forearmRight;0.198779;
shoulder;0.367363;
upperBody;0.242733;
hip;0.152531;
lowerBody;0.338047;
body;0.58074;
lowerLegLeft;0.265104;
upperLegLeft;0.449138;
upperLegRight;0.399166;
lowerLegRight;0.365547;
forearmLeft;0.250685;
upperarmLeft;0.26365;
shoulderHalfLeft;0.1838;
neck;0.0778895;
shoulderHalfRight;0.200549;
upperarmRight;0.211013;
forearmRight;0.19877;
shoulder;0.367371;
upperBody;0.242756;
hip;0.1525;
lowerBody;0.338068;
body;0.580783;
lowerLegLeft;0.265811;
upperLegLeft;0.44908;
upperLegRight;0.39906;
lowerLegRight;0.365289;
forearmLeft;0.241515;
upperarmLeft;0.271174;
shoulderHalfLeft;0.183869;
neck;0.0778858;
shoulderHalfRight;0.200586;
upperarmRight;0.210926;
forearmRight;0.198767;
shoulder;0.367408;
upperBody;0.242747;
hip;0.152542;
lowerBody;0.338064;
body;0.58077;
lowerLegLeft;0.266193;
upperLegLeft;0.449159;
upperLegRight;0.399479;
lowerLegRight;0.365141;
forearmLeft;0.244219;
upperarmLeft;0.269019;
shoulderHalfLeft;0.183831;
neck;0.0778857;
shoulderHalfRight;0.200641;
upperarmRight;0.210901;
forearmRight;0.198779;
shoulder;0.36735;
upperBody;0.24275;
hip;0.152495;
lowerBody;0.338072;
body;0.580781;
lowerLegLeft;0.264796;
upperLegLeft;0.449064;
upperLegRight;0.399088;
lowerLegRight;0.365153;
forearmLeft;0.246688;
upperarmLeft;0.267005;
shoulderHalfLeft;0.183783;
neck;0.0778836;
shoulderHalfRight;0.200662;
upperarmRight;0.211024;
forearmRight;0.198794;
shoulder;0.367328;
upperBody;0.242744;
hip;0.152528;
lowerBody;0.338065;
body;0.580768;
lowerLegLeft;0.265692;
upperLegLeft;0.449068;
upperLegRight;0.399327;
lowerLegRight;0.365176;
forearmLeft;0.248522;
upperarmLeft;0.265286;
shoulderHalfLeft;0.183751;
neck;0.07787;
shoulderHalfRight;0.200663;
upperarmRight;0.210839;
forearmRight;0.198812;
shoulder;0.367295;
upperBody;0.242707;
hip;0.152576;
lowerBody;0.338024;
body;0.58069;
lowerLegLeft;0.266019;
upperLegLeft;0.449071;
upperLegRight;0.399801;
lowerLegRight;0.364772;
forearmLeft;0.24956;
upperarmLeft;0.264826;
shoulderHalfLeft;0.184076;
neck;0.0778884;
shoulderHalfRight;0.200691;
upperarmRight;0.211106;
forearmRight;0.198819;
shoulder;0.367006;
upperBody;0.242772;
hip;0.152659;
lowerBody;0.338171;
body;0.580902;
lowerLegLeft;0.266482;
upperLegLeft;0.448824;
upperLegRight;0.40004;
lowerLegRight;0.364544;
forearmLeft;0.249776;
upperarmLeft;0.264737;
shoulderHalfLeft;0.183959;
neck;0.077892;
shoulderHalfRight;0.200677;
upperarmRight;0.211114;
forearmRight;0.198818;
shoulder;0.366916;
upperBody;0.242781;
hip;0.152658;
lowerBody;0.338178;
body;0.580918;
lowerLegLeft;0.266122;
upperLegLeft;0.448793;
upperLegRight;0.3997;
lowerLegRight;0.365762;
forearmLeft;0.250421;
upperarmLeft;0.264298;
shoulderHalfLeft;0.18394;
neck;0.0778816;
shoulderHalfRight;0.200612;
upperarmRight;0.211352;
forearmRight;0.198832;
shoulder;0.366841;
upperBody;0.242756;
hip;0.152693;
lowerBody;0.338144;
body;0.580859;
lowerLegLeft;0.267329;
upperLegLeft;0.448943;
upperLegRight;0.39928;
lowerLegRight;0.36664;
forearmLeft;0.251355;
upperarmLeft;0.263551;
shoulderHalfLeft;0.18389;
neck;0.0778797;
shoulderHalfRight;0.200608;
upperarmRight;0.211624;
forearmRight;0.198838;
shoulder;0.366804;
upperBody;0.242751;
hip;0.152705;
lowerBody;0.338133;
body;0.580843;
lowerLegLeft;0.267435;
upperLegLeft;0.448801;
upperLegRight;0.399718;
lowerLegRight;0.366079;
forearmLeft;0.25218;
upperarmLeft;0.263025;
shoulderHalfLeft;0.183867;
neck;0.0778745;
shoulderHalfRight;0.200557;
upperarmRight;0.211652;
forearmRight;0.198848;
shoulder;0.366759;
upperBody;0.242739;
hip;0.152758;
lowerBody;0.338109;
body;0.580806;
lowerLegLeft;0.267712;
upperLegLeft;0.448814;
upperLegRight;0.399969;
lowerLegRight;0.365831;
forearmLeft;0.252429;
upperarmLeft;0.262954;
shoulderHalfLeft;0.183767;
neck;0.0778815;
shoulderHalfRight;0.200564;
upperarmRight;0.211692;
forearmRight;0.198858;
shoulder;0.36667;
upperBody;0.242761;
hip;0.152747;
lowerBody;0.338144;
body;0.580864;
lowerLegLeft;0.267664;
upperLegLeft;0.448734;
upperLegRight;0.399438;
lowerLegRight;0.36614;
forearmLeft;0.252458;
upperarmLeft;0.262947;
shoulderHalfLeft;0.183758;
neck;0.0778773;
shoulderHalfRight;0.200538;
upperarmRight;0.212713;
forearmRight;0.198856;
shoulder;0.366625;
upperBody;0.242748;
hip;0.152755;
lowerBody;0.338128;
body;0.580835;
lowerLegLeft;0.267629;
upperLegLeft;0.448806;
upperLegRight;0.399012;
lowerLegRight;0.36612;
forearmLeft;0.252717;
upperarmLeft;0.262765;
shoulderHalfLeft;0.183706;
neck;0.0778751;
shoulderHalfRight;0.200489;
upperarmRight;0.212977;
forearmRight;0.198873;
shoulder;0.36654;
upperBody;0.242743;
hip;0.15276;
lowerBody;0.338116;
body;0.580817;
lowerLegLeft;0.267604;
upperLegLeft;0.448794;
upperLegRight;0.402579;
lowerLegRight;0.363101;
forearmLeft;0.252715;
upperarmLeft;0.262794;
shoulderHalfLeft;0.183769;
neck;0.0778659;
shoulderHalfRight;0.200345;
upperarmRight;0.21299;
forearmRight;0.198864;
shoulder;0.366472;
upperBody;0.242717;
hip;0.152694;
lowerBody;0.338088;
body;0.580764;
lowerLegLeft;0.267687;
upperLegLeft;0.448689;
upperLegRight;0.402618;
lowerLegRight;0.362684;
forearmLeft;0.243518;
upperarmLeft;0.270361;
shoulderHalfLeft;0.183538;
neck;0.0778714;
shoulderHalfRight;0.200359;
upperarmRight;0.213016;
forearmRight;0.198887;
shoulder;0.366288;
upperBody;0.242728;
hip;0.15269;
lowerBody;0.338092;
body;0.580779;
lowerLegLeft;0.267117;
upperLegLeft;0.448666;
upperLegRight;0.402629;
lowerLegRight;0.362373;
forearmLeft;0.246167;
upperarmLeft;0.268224;
shoulderHalfLeft;0.183532;
neck;0.0778548;
shoulderHalfRight;0.200267;
upperarmRight;0.213334;
forearmRight;0.198901;
shoulder;0.36624;
upperBody;0.24268;
hip;0.152798;
lowerBody;0.337988;
body;0.580627;
lowerLegLeft;0.26744;
upperLegLeft;0.448797;
upperLegRight;0.401785;
lowerLegRight;0.36322;
forearmLeft;0.248856;
upperarmLeft;0.265858;
shoulderHalfLeft;0.183609;
neck;0.0778565;
shoulderHalfRight;0.20113;
upperarmRight;0.211561;
forearmRight;0.198893;
shoulder;0.368054;
upperBody;0.242683;
hip;0.152866;
lowerBody;0.337986;
body;0.580628;
lowerLegLeft;0.267735;
upperLegLeft;0.448904;
upperLegRight;0.400955;
lowerLegRight;0.364196;
forearmLeft;0.249385;
upperarmLeft;0.265466;
shoulderHalfLeft;0.183584;
neck;0.0778636;
shoulderHalfRight;0.201065;
upperarmRight;0.211699;
forearmRight;0.198904;
shoulder;0.36784;
upperBody;0.242701;
hip;0.152833;
lowerBody;0.338022;
body;0.580682;
lowerLegLeft;0.267663;
upperLegLeft;0.448583;
upperLegRight;0.401051;
lowerLegRight;0.363773;
forearmLeft;0.249754;
